"elapsed","AvgLatency","producer","RecordsPerSecond"
"5","1918","281","75266"
"10","4655","281","120968"
"15","4551","281","124979"
"20","4580","281","120939"
"25","4118","281","146164"
"30","3829","281","144224"
"35","3653","281","159268"
"5","1939","283","64470"
"10","4474","283","122860"
"15","4509","283","125282"
"20","4538","283","122771"
"25","4040","283","147197"
"30","3832","283","144581"
"35","3608","283","161998"
"5","1900","285","73293"
"10","4441","285","122249"
"15","4494","285","125937"
"20","4564","285","121922"
"25","4001","285","147966"
"30","3840","285","145564"
"35","3599","285","161748"
"5","1458","287","68114"
"10","4127","287","120775"
"15","4520","287","126126"
"20","4588","287","122741"
"25","3956","287","148403"
"30","3849","287","145724"
"35","3572","287","162894"
